1.1.1.1|Salários
1.1.1.2|Gratificação de Função/ Substituições
1.1.1.3|Gratificação Por Tempo de Serviço/ Anuenio
1.1.1.4|Férias
1.1.1.5|13º Salário
1.1.1.6|Abono Pecuniário de Férias
1.1.1.7|1/3 de Férias
1.1.1.8|Horas Extras
1.1.1.9|Bolsa para Estagiários
1.1.1.10|Adicional Noturno
1.1.1.11|Adicional de Periculosidade
1.1.1.12|Incorporação de Vantagens
1.1.1.13|Indenizações Trabalhistas/ PDV
1.1.1.14|Insalubridade
1.1.1.15|Outas Remunerações
1.1.2.1|INSS Patronal
1.1.2.2|FGTS
1.1.2.3|PIS/PASEP sobre Folha de Pagamento
1.1.3.1|Auxílio Transporte
1.1.3.2|Auxílio Refeição
1.1.3.3|Plano de Saúde
1.1.3.4|Auxílio Odontológico
1.1.3.5|Auxílio Creche
1.1.3.6|Auxílio Educação
1.1.3.7|Lanche In Natura
1.1.3.8|Auxílio Material Escolar
1.1.3.9|Auxílio Funeral
1.1.3.10|Auxílio Babá
1.1.3.11|Auxilio ao Filho Excepcional
1.1.3.12|Auxílio Regime de Trabalho Hibrido
1.1.3.13|Outros Benefícios a Pessoal
1.2.1.1|Materiais de Expediente
1.2.1.2|Impressos, Formulários e Papéis
1.2.1.3|Carteiras de Identidade Profissional
1.2.1.4|Material para Divulgação/Apoio
1.2.1.5|Material de Copa e Cozinha
1.2.1.6|Gêneros Alimentícios
1.2.1.7|Materiais de Higiene, Limpeza e Conservação
1.2.1.8|Prêmios, Diplomas e Medalhas
1.2.1.9|Bandeiras, Flâmulas e Placas
1.2.1.10|Materiais de Informatica
1.2.1.11|Material Elétrico e Eletrônico
1.2.1.12|Materiais para Manut. de Bens Móveis
1.2.1.13|Materiais para Manut. de Bens Imóveis
1.2.1.14|Gás e Outros Materiais Engarrafados
1.2.1.15|Material de Protecao e Seguranca
1.2.1.16|Material de Sinalização Visual e Outros
1.2.1.17|Combustíveis e Lubrificantes
1.2.1.18|Peças e assessórios automotivos
1.2.1.19|Outros Materiais de Consumo
1.3.1.1|INSS sobre Serviços de Autônomos
1.3.1.2|Serviços de Pessoas Físicas Diversos
1.3.1.3|Verba de Representação para Conselheiro
1.3.1.4|Verba de Representação Colaborador Eventual
1.3.1.5|Outros Serviços de Terceiros de PF
1.4.1.1|Diárias e Adicionais de Deslocamentos a Conselheiros
1.4.1.2|Diárias e Adicionais de Deslocamentos a Colaboradores
1.4.1.3|Diárias e Adicionais de Deslocamentos a Empregados
1.4.1.4|Indenização de Deslocamento e Alimentação para Conselheiro
1.4.1.5|Indenização de Deslocamento e Alimentação para Colaborador Eventual
1.5.1.1|Passagens Aéreas, Marítimas e Terrestres no país
1.5.1.2|Passagens Aéreas, Marítimas e Terrestres no exterior
1.6.1.1|Serviço de Assessoria Administrativa
1.6.1.2|Serviço de Assessoria de Imprensa
1.6.1.3|Serviços de Anotações de Inadimplentes
1.6.1.4|Serviços de Assessoria em Informática ( Cin)
1.6.1.5|Serviços de Informática (cin)
1.6.1.6|Serviços de Copa e Cozinha
1.6.1.7|Serviços Gráficos
1.6.1.8|Serviços de Medicina do Trabalho
1.6.1.9|Serviços de Seleção, Treinamento e Orientação Profisssional
1.6.1.10|Serviços de Emissão de Carteira de Identidade Profissional - CIP
1.6.1.11|Serviços de Cobrança Administrativa de Dívida
1.6.1.12|Serviços de Intermediação de Estagios/ Menor Aprendiz
1.6.1.13|Serviço de Publicidade/Divulgação Institucional
1.6.1.14|Serviços Técnicos Especializados
1.6.1.15|Seguros em Geral
1.6.1.16|Serviços de Mão de Obra Terceirizada (limpeza, Portaria, Vigilancia, Motorista...)
1.6.1.17|Assessoria Contábil
1.6.1.18|Assessoria Jurídica
1.6.1.19|Serviços de Tradução
1.6.1.20|Serviços Fotográficos e Vídeos
1.6.1.21|Serviços de Produção Jornalisticas
1.6.1.22|Fretes, Transportes e Encomendas
1.6.1.23|Exposições, Congressos, Conferências e Afins
1.6.1.24|Cópias e Microfilmagens de Documentos
1.6.1.25|Condomínios
1.6.1.26|Locações de Bens Imóveis
1.6.1.27|Serviços de Hospedagem PJ
1.6.1.28|Locação de Bens Móveis, Máquinas e Equipamentos
1.6.1.29|Locação de Veículos
1.6.1.30|Manutenção e Conservação de Bens Móveis
1.6.1.31|Manutenção e Conservação de Veículos
1.6.1.32|Serviços de Energia Elétrica
1.6.1.33|Serviços de Água e Esgoto
1.6.1.34|Serviços Postais
1.6.1.35|Serviços de Telecomunicações
1.6.1.36|Serviços de Manutenção de Software e Hardware
